,id,bedrooms,bathrooms,half_bathrooms,lot_size,construction_size,age,property_type_id_id,real_age,latitude,longitude,postal_code,settlement,price,balcony,water strorage,air_conditioning,pool,furniture,accasible_for_handicap,first_floor,security,parking_space,kitchen,garden,roof_Garden,service_room,gated_community,price_per_area,price_small,price_per_area_small,geometry,high_impact/area,low_impact/area
1240,32688,3.0,2.0,1.0,119.0,119.0,0,1.0,0,19.3388626,-99.1825387,,copilco universidad,6618000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,55613.445378151264,6.618,0.0556134453781512,POINT (-99.1825387 19.3388626),41.405980936408305,277.88962463507016
1241,14120,3.0,1.0,1.0,160.0,138.0,50,3.0,50,19.470807,-99.180928,02070,del recreo,4500000.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,28125.0,4.5,0.028125,POINT (-99.180928 19.470807),25.47079962116972,127.57169724790988
1242,5,2.0,2.0,0.0,132.0,132.0,1,1.0,1,19.404032,-99.1797929,11800,escandón,5400000.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,40909.09090909091,5.4,0.0409090909090909,POINT (-99.1797929 19.404032),61.05488825681292,223.62491907793867
1243,5556,3.0,3.0,1.0,177.0,177.0,1,1.0,1,19.440244,-99.19959,11520,granada,14532146.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,82102.51977401129,14.532146,0.0821025197740113,POINT (-99.19959 19.440244),40.38125395600577,215.44004154185097
1244,1045,2.0,2.0,0.0,107.0,107.0,16,1.0,16,19.405461,-99.173876,06100,hipódromo,5395000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,50420.56074766355,5.395,0.0504205607476635,POINT (-99.173876 19.405461),90.61269196516918,403.2212656263627
1245,10345,2.0,2.0,0.0,67.0,67.0,1,1.0,1,19.488257,-99.149849,07750,lindavista vallejo iii sección,2801000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,41805.97014925373,2.801,0.0418059701492537,POINT (-99.149849 19.488257),26.846786322845016,118.51284052427077
1246,2711,2.0,3.0,0.0,116.0,116.0,15,1.0,15,19.392134,-99.171347,03100,del valle norte,9900000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,85344.8275862069,9.9,0.0853448275862069,POINT (-99.171347 19.392134),48.98704854313652,337.8701999012283
1247,8778,3.0,3.0,1.0,202.0,202.0,1,1.0,1,19.436378,-99.211605,11510,polanco i sección,21599000.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,106925.74257425744,21.599,0.1069257425742574,POINT (-99.211605 19.436378),41.67810401121302,277.4298221204409
1248,13745,2.0,2.0,0.0,79.0,79.0,5,1.0,5,19.473276,-99.143934,07790,guadalupe victoria,2430000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,30759.49367088608,2.43,0.030759493670886,POINT (-99.143934 19.473276),58.26549107700645,161.24635902706436
1249,25740,2.0,2.0,0.0,63.0,63.0,0,1.0,0,19.404184,-99.115316,08400,granjas méxico,2133632.83,False,False,False,True,False,False,False,True,False,False,True,False,True,False,33867.18777777778,2.1336328300000003,0.0338671877777777,POINT (-99.115316 19.404184),64.26647152586267,170.58967809438545
