id,bedrooms,bathrooms,half_bathrooms,lot_size,construction_size,age,property_type_id_id,real_age,latitude,longitude,postal_code,settlement,price,balcony,water strorage,air_conditioning,pool,furniture,accasible_for_handicap,first_floor,security,parking_space,kitchen,garden,roof_Garden,service_room,gated_community,price_per_area,price_small,price_per_area_small
26909,3.0,2.0,0.0,189.0,103.0,0,1.0,0,19.402257,-99.184765,06760,roma sur,8359600.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,44230.68783068783,8.3596,0.04423068783068783
28122,2.0,2.0,0.0,64.0,64.0,0,1.0,0,19.404184,-99.115316,08400,granjas méxico,2106849.77,False,False,False,True,False,False,False,True,False,False,True,False,True,False,32919.52765625,2.10684977,0.03291952765625
6850,2.0,2.0,0.0,113.0,113.0,42,1.0,42,19.389316,-99.1802,03810,napoles,5900000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,52212.38938053097,5.9,0.05221238938053097
27517,2.0,2.0,0.0,92.0,92.0,3,1.0,3,19.35585,-99.297037,05370,las tinajas,8289000.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,90097.82608695653,8.289,0.09009782608695653
7796,2.0,1.0,0.0,56.0,56.0,9,1.0,9,19.45684,-99.18848,11410,tacuba,1935000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,34553.57142857143,1.935,0.03455357142857143
26457,2.0,2.0,0.0,89.0,89.0,2,1.0,2,19.372652,-99.189456,03100,del valle centro,4880000.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,54831.4606741573,4.88,0.0548314606741573
38532,2.0,1.0,0.0,70.0,70.0,1,1.0,1,19.342406,-99.146658,04370,atlántida,3700000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,52857.142857142855,3.7,0.05285714285714285
25678,2.0,2.0,0.0,127.0,127.0,2,1.0,2,19.387925,-99.182304,03810,nápoles,4839300.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,38104.72440944882,4.8393,0.03810472440944882
1122,2.0,2.0,0.0,89.0,89.0,2,1.0,2,19.4282707927,-99.1701408259,06500,cuauhtémoc,6834750.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,76794.94382022473,6.83475,0.07679494382022473
27784,2.0,2.0,0.0,99.0,90.0,0,1.0,0,19.407117,-99.159436,06760,roma sur,6384000.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,64484.84848484849,6.384,0.06448484848484849
10772,2.0,2.0,0.0,84.0,84.0,10,1.0,10,19.366941,-99.171389,03104,del valle sur,4120000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,49047.619047619046,4.12,0.04904761904761905
5837,4.0,4.0,1.0,267.0,580.0,4,3.0,4,19.396205,-99.23918,11920,real de las lomas,1850000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,6928.838951310861,1.85,0.006928838951310861
21132,2.0,2.0,0.0,157.0,157.0,2022,1.0,0,19.4109214,-99.1651806,06700,roma norte,6681740.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,42558.85350318471,6.68174,0.04255885350318471
27683,1.0,1.0,0.0,29.0,29.0,0,1.0,0,19.449422,-99.133193,06200,morelos,1629100.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,56175.862068965514,1.6291,0.056175862068965514
25680,2.0,2.0,0.0,102.0,102.0,2,1.0,2,19.363676,-99.164867,03300,portales sur,3708600.0,False,False,False,False,False,False,False,True,False,False,True,False,True,False,36358.82352941176,3.7086,0.03635882352941176
26322,3.0,2.0,0.0,119.0,119.0,0,1.0,0,19.346008,-99.21422,01790,lomas de los ángeles del pueblo tetelpan,5401300.0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,45389.075630252104,5.4013,0.0453890756302521
27359,2.0,2.0,0.0,98.0,94.0,0,1.0,0,19.405875,-99.166248,06760,roma sur,5645911.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,57611.336734693876,5.645911,0.057611336734693874
1521,4.0,4.0,1.0,1000.0,1000.0,1,3.0,1,19.404123,-99.246025,11700,bosque de las lomas,2300000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2300.0,2.3,0.0023
27402,2.0,2.0,0.0,109.0,109.0,3,1.0,3,19.342644,-99.225994,01700,tetelpan,5275300.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,48397.247706422015,5.2753,0.048397247706422016
27764,2.0,2.0,0.0,90.0,90.0,3,1.0,3,19.448956,-99.15711,06400,santa maría la ribera,3695300.0,False,False,False,False,False,False,False,True,False,False,True,False,True,False,41058.88888888889,3.6953,0.04105888888888889
25829,2.0,2.0,0.0,92.0,92.0,3,1.0,3,19.448956,-99.15711,06400,santa maría la ribera,5256800.0,False,False,False,False,False,False,False,True,False,False,True,False,True,False,57139.13043478261,5.2568,0.05713913043478261
25926,2.0,2.0,0.0,81.0,76.0,0,1.0,0,19.410928,-99.167361,06700,roma norte,5172940.0,False,False,False,False,False,False,False,True,False,False,True,False,True,False,63863.456790123455,5.17294,0.06386345679012345
12684,2.0,1.0,0.0,101.0,101.0,1,1.0,1,19.358056,-99.254952,15000,santa lucia,2200000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,21782.178217821784,2.2,0.021782178217821784
